관광지명,관광지구분,소재지도로명주소,소재지지번주소,공공편익시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관명
덕산온천관광단지,관광단지,충청남도 예산군 덕산면 온천단지2로 11,충청남도 예산군 덕산면 신평리 513,관광안내소+화장실(2동)+주차장,1981-09-22,100000,350,"1917년 처음으로 탕을 이용한 온천으로 개장됐으며, 49도씨 이상의 천연중탄산나트륨 온천수로 전국 최고의 온천수로 인정받고 있다.",041-339-7303,충청남도 예산군청,2023-05-22,충청남도 예산군
용현자연휴양림,관광지,충청남도 서산시 운산면 마애삼존불길 339,,관리사무소+화장실+주차장,2000-06-12,800,98,용현계곡 한가운데 자리해 심산유곡의 경치를 자랑하는 산림휴양의 적지,041-664-1971,국립자연휴양림관리소,2022-08-25,충청남도 서산시
해미읍성,관광지,충청남도 서산시 해미면 남문2로 143,,사무실+화장실+주차장,1963-01-21,300000,24000,500년 옛모습을 잘 간직한 조선시대 석축 읍성,041-660-3069,서산시 문화시설사업소+해미읍성관광안내소,2022-08-25,충청남도 서산시
간월도관광지,관광지,,충청남도 서산시 부석면 간월도리 산33 일원,화장실+주차장,2000-05-04,100000,139,개발진행중,041-660-2373,충청남도 서산시청 관광과,2022-08-25,충청남도 서산시
서산류방택천문기상과학관,관광지,충청남도 서산시 인지면 무학로 1353-4,,사무실+화장실+주차장,2011-07-11,280,25,천상열차분야지도를 제작한 충남 서산 출신 고려말 천문학자 류방택 선생의 뜻을 기려 설립된 과학관,041-669-8496,서산시 문화시설사업소+류방택천문기상과학관관리소,2022-08-25,충청남도 서산시
서산버드랜드,관광지,충청남도 서산시 부석면 천수만로 655-73,,화장실(5동)+주차장+안내소(4개소),2013-11-01,10000,200,철새도래시기에는 천수만에 도래하는 철새들을 탐조투어를 통해 볼 수 있고 특별프로그램 기간에는 각종 체험행사 등을 경험할 수 있으며 4D 영상 등의 볼거리가 있음,041-661-8054,서산시 버드랜드사업소,2022-08-25,충청남도 서산시
백제문화관광단지,관광단지,충청남도 부여군 규암면 백제문로 400,충청남도 부여군 규암면 합정리 578,주차장+화장실,2015-01-12,100000,3000,"고유의 교육적 가치 제고 및 관광, 지역경제 활성화를 위한 슈요자 중심의 체류형 종합 관광단지",041-830-2222,충청남도 부여군청,2023-07-19,충청남도 부여군
금강하구둑관광지,관광지,충청남도 서천군 마서면 장산로 855번길 56-2,충청남도 서천군 마서면 도삼리 71-5,종합안내소+주차장+화장실,1993-09-22,5000,486,"금강을 경계로 군산과 인접하고 있으며, 철새도래지로 유려한 철새군무를 볼수 있고 먹거리가 풍부함",041-950-4018,충청남도 서천군청,2022-11-24,충청남도 서천군
춘장대,관광지,충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,종합안내소+주차장+화장실+취사장,1977-04-21,100000,300,국내 유일의 해송림 해수욕장으로 캠핑장과 조개잡이 체험등 다양한 즐길거리와 인근 동백정 마량항등 볼거리도 풍부,041-950-4091,충청남도 서천군청,2022-11-24,충청남도 서천군
태조대왕태실,관광지,,충청남도 금산군 추부면 마전리 산 1-86,화장실(1동)+주차장,1989-04-20,100,100,조선을 개국한 태조가 함경도 용연지역에 있는 자신의 태를 이 산에 옮겨와 태자의 태와 함께 안치하여 나라의 태평성대를 염원한데서 그 유래를 찾을 수 있다.,041-750-2273,충청남도 금산군청,2024-07-09,충청남도 금산군
보석사,관광지,충청남도 금산군 남이면 보석사1길 30,충청남도 금산군 남이면 석동리 711,관리사무소+화장실(2동)+주차장,1993-11-12,100,20,"나무 천년, 절집 천년",041-750-2273,충청남도 금산군청,2024-07-09,충청남도 금산군
보석사 은행나무,관광지,충청남도 금산군 남이면 보석사1길 30,충청남도 금산군 남이면 석동리 711,관리사무소+화장실(2동)+주차장,1990-08-02,60,20,"나무 천년, 절집 천년",041-750-2273,충청남도 금산군청,2024-07-09,충청남도 금산군
칠백의총,관광지,충청남도 금산군 금성면 의총길 50,충청남도 금산군 금성면 의총리 216,관리사무소+화장실(5동)+주차장,1963-01-21,4600,116,임진왜란(1592) 당시 1만 5천의 왜군과 싸우다가 수적 열세였지만 적에게 큰 타격을 입히고 장렬히 전사한 700 의승병들의 유해를 모신 호국영령의 성지이다,041-753-8701,문화재청칠백의총관리사무소,2024-07-09,충청남도 금산군
만리포 관광지,관광지,충청남도 태안군 소원면 만리포2길 190-3,,관리사무소+화장실+주차장,2010-05-06,30000,1805,만리포 해수욕장에 멋진 바다가 한눈에 보이고 항구가 많으니 놀거리 볼거리가 많아서 다양하게 관람할수 있음,041-670-2771,충청남도 태안군청,2024-07-02,충청남도 태안군
신정호국민관광지,관광지,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,관리사무소+화장실+주차장+변전실,1971-05-20,2000,670,신정호는 담수면적이 92ha이며 농업용수 공급을 목적으로 1926년에 만들어진 인공호수이다.,041-540-8725,충청남도 아산시청,2023-07-21,충청남도 아산시
아산온천관광지,관광지,충청남도 아산시 송악면 도송로632번길 138,충청남도 아산시 음봉면 신수리 292-6,"관리사무소+,화장실+,주차장+일반광장",1991-03-15,1500,350,"1987년에 발견되어, 1991년에 관광지로 지정된 아산온천은 2001년 테마 온천 시설인 아산스파비스가 개장된 이후로 인기가 높다. 약알칼리성 온천으로 20여종의 인체에 유익한 성분이 다량 함유되어 있다.",041-540-2822,충청남도 아산시청,2023-07-21,충청남도 아산시
사계고택,관광지,충청남도 계룡시 두마면 사계로 122-4,충청남도 계룡시 두마면 두계리 96,관리사무소+화장실(1동)+주차장,2013-11-11,150,10,조선중기 유학의 대가 사계김장생 선생의고택,042-840-2412,충청남도 계룡시,2023-08-08,충청남도 계룡시
모원재,관광지,충청남도 계룡시 두마면 왕대2길6-10,충청남도 계룡시 두마면 왕대리 281-1,화장실(1동)+주차장,1989-04-20,300,35,사계 김장생 선생의 5대 선친인 김국광의 재실,042-840-2412,충청남도 계룡시,2023-08-08,충청남도 계룡시
염선재,관광지,충청남도 계룡시 사계로 5-16(금암동),충청남도 계룡시 금암동 45,주차장,1990-09-27,10,2,사계 김장생 선생의 계배 순천김씨의 재실,042-840-2412,충청남도 계룡시,2023-08-08,충청남도 계룡시
이심원충신정려현판,관광지,충청남도 계룡시 금암1 길 7(금암동),충청남도 계룡시 금암동 281-4,주차장,1995-03-06,5,2,효령대군의 증손인 이심원선생의 충직함을 기리기 위한 현판,042-840-2412,충청남도 계룡시,2023-08-08,충청남도 계룡시
신원재,관광지,충청남도 계룡시 두마면 왕대2길43,충청남도 계룡시 두마면 왕대리 299,주차장,2002-01-10,30,5,사계 김장생 선생의 9번째 아들인 김비 선생의 재실,042-840-2412,충청남도 계룡시,2023-08-08,충청남도 계룡시
