연번,시군명,관광지명,관광지 주소,관광지 연락처
43,아산시,피나클랜드,충남 아산시 영인면 월선길 20-42,041-541-2582
44,아산시,도고온천,3대온천 온천표시 정도만,
45,아산시,아산온천,3대온천 온천표시 정도만,
46,서산시,해미읍성,충남 서산시 해미면 남문2로 143,041-661-8009
47,서산시,서산용현리마애여래삼존상,충남 서산시 운산면 마애삼존불길 65-13,041-660-2538
48,서산시,간월암,충남 서산시 부석면 간월도1길 119-29,041-668-6624
49,서산시,개심사,충남 서산시 운산면 개심사로 321-86,041-688-2256
50,서산시,팔봉산,충남 서산시 팔봉면 어송리 347-4(어송리 주차장)/ 충남 서산시 팔봉면 양길리 820(양길리 주차장),041-662-2004
51,서산시,가야산,"충남 서산시 해미면, 운산면 일원",041-662-2113
52,서산시,황금산,충남 서산시 대산읍 독곶리 일원,041-662-0819
53,서산시,서산한우목장,"충남 서산시 운산면 원별리, 태봉리, 용현리 일원",041-661-4600
54,서산시,삼길포항,충남 서산시 대산읍 화곡리 1891,041-662-0819
55,서산시,해미국제성지,충남 서산시 해미면 성지1로 13,041-688-3183
56,논산시,관촉사 은진미륵,논산시 관촉로 1번길 25,041-736-5700
57,논산시,탑정호와 출렁다리,논산시 가야곡면 일원,041-741-2590
58,논산시,대둔산 수락계곡,논산시 벌곡면 수락계곡길,041-732-3568
59,논산시,계백장군 유적지,논산시 부적면 충곡로 311-54,041-746-8431
60,논산시,쌍계사,논산시 양촌면 중산길 192,041-741-2251
61,논산시,개태사,논산시 연산면 계백로 2614-11,041-734-8730
62,논산시,강경포구와 근대역사거리,논산시 강경읍 옥녀봉로 일원,
63,논산시,노성산성과 명재고택,논산시 노성면 노성산성길(노성산성),041-746-8642
64,논산시,명재고택,논산시 노성면 노성산성길 50(명재고택),041-735-1215
65,논산시,세계유산 돈암서원,논산시 연산면 임3길 26-14,041-733-9978
66,논산시,선샤인랜드,논산시 연무읍 봉황로 102(선샤인랜드),041-730-2955
67,논산시,선샤인스튜디오,논산시 연무읍 봉황로 90(선샤인스튜디오),1811-7057
68,논산시,종학당과 한국유교문화진흥원,논산시 노성면 종학길 39-6(종학당),041-733-7230
69,논산시,학국유교문화진흥원,논산시 노성면 종학길 10(한국유교문화진흥원),041-980-3500
70,계룡시,사계고택,충청남도 계룡시 두마면 사계로 122-4,042-840-2863
71,계룡시,계룡병영체험관,충청남도 계룡시 신도안면 남선리 851-3,042-840-2636
72,계룡시,향적산 치유의 숲,충청남도 계룡시 엄사면 향적산길 200,042-840-2692
73,계룡시,입암수변공원,충청남도 계룡시 두마면 입암리 419,042-840-2412
74,계룡시,괴목정,충청남도 계룡시 신도안면 용동리 4-1,042-840-2412
75,계룡시,계룡문,충청남도 계룡시 두마면 농소리 17,042-840-2412
76,계룡시,신도내주초석,충청남도 계룡시 계룡대로 663,042-840-2412
77,계룡시,암용추,충청남도 계룡시 신도안면 용동리,042-840-2412
78,계룡시,계룡산 천황봉,충청남도 계룡시 신도안면 용동리,042-840-2412
79,당진시,삽교호관광지,충청남도 당진시 신평면 삽교천3길 79,041-360-6541
80,당진시,왜목마을관광지,충청남도 당진시 석문명 왜목길 13,041-357-9662
81,당진시,난지섬관광지,충청남도 당진시 석문면 난지1길 67,041-352-0844
82,당진시,버그내순례길,충청남도 당진시 우강면 솔뫼로 132 ~ 하흑공소,041-360-5021
83,당진시,솔뫼성지,충청남도 당진시 우강면 솔뫼로 132,041-362-5021
84,당진시,합덕제,충청남도 당진시 합덕읍 합덕리 395,041-350-4931
85,당진시,기지시줄다리기박물관,충청남도 당진시 송악읍 안틀모시길 11,041-350-4929
86,당진시,면천읍성,충청남도 당진시 면천면 성상리 930-1,041-350-3593
87,당진시,신리성지,충청남도 당진시 합덕읍 신리2길 21,041-363-1359
88,당진시,합덕성당,충청남도 당진시 합덕읍 합덕성당2길 22,041-363-1061
89,당진시,삼선산수목원,충청남도 당진시 고대면 삼선산수목원길 79,041-350-4187
90,금산군,월영산 원골(출렁다리),금산군 제원면 천내리 241-8,041-754-3837
91,금산군,적벽강 비단물길,금산군 부리면 적벽강로 697 일원,041-750-2256
92,금산군,대둔산 낙조대,금산군 진산면 대둔산로 2 일원,041-750-3412
93,금산군,진악산 개삼터,금산군 남이면 개삼로 101 일원,041-750-2256
94,금산군,서대산 산꽃세상,금산군 군북면 자진뱅이길 39,041-750-2303
95,금산군,산림문화힐링명소,금산군 남이면 느티골길 200,041-753-5706
96,금산군,금산인삼세계중요농업유산,금산군 제원면 저곡리 310-2,041-750-2653
97,금산군,인삼약령시장,금산군 금산읍 인삼약초로 24,041-753-3219
98,금산군,칠백의총 금성산,금산군 금성면 의총길 50,041-753-8701
99,금산군,태조태실 요광은행나무,"금산군 추부면 마전리 산 1-86, 1-66",041-750-2273
100,부여군,부소산,충청남도 부여군 부여읍 쌍북리 678-2,041-830-2880
101,부여군,정림사지5층석탑,충청남도 부여군 부여읍 동남리 254,041-832-2721
102,부여군,궁남지,충청남도 부여군 부여읍 궁남로 52,041-830-2880
103,부여군,부여왕릉원,충청남도 부여군 부여읍 왕릉로 61,041-830-2890
104,부여군,백제문화단지,충청남도 부여군 규암면 백제문로 455,0507-1369-7290
105,부여군,무량사,충청남도 부여군 외산면 무량로 203,041-836-5066
106,부여군,서동요 테마파크,충청남도 부여군 충화면 충신로 616,041-832-9913
107,부여군,성흥산 사랑나무,충청남도 부여군 임천면 성흥로 97번길 167,041-830-2880
108,부여군,국립부여박물관,충청남도 부여군 부여읍 금성로 5,041-833-8562
109,부여군,신동엽 문학관생가,충청남도 부여군 부여읍 신동엽길 12,041-833-2725
110,서천군,마량리동백나무숲,충청남도 서천군 서면 서인로235번길 103 동백나무숲 매표소,041-952-7999
111,서천군,신성리갈대밭,충청남도 서천군 한산면 신성로 500,041-950-4017
112,서천군,한산모시마을,충청남도 서천군 한산면 충절로 1089 한산모시관,041-951-4100
113,서천군,문헌서원,충청남도 서천군 기산면 서원로172번길 66 문헌서원,041-953-5895
114,서천군,춘장대해수욕장,충청남도 서천군 서면 춘장대길 20 춘장대해수욕장 종합안내소,041-951-9110
115,서천군,국립생태원,충청남도 서천군 마서면 금강로 1210 국립생태원,041-950-5300
116,서천군,국립해양생물자원관,충남 서천군 장항읍 장산로101번길 75 해양생물자원관,041-950-0600
117,서천군,금강하굿둑철새도래지,충청남도 서천군 마서면 장산로 916 서천군 조류생태전시관,041-956-4002
118,서천군,장항송림산림욕장·스카이워크,충청남도 서천군 장항읍 송림리 산65,041-956-5505
119,서천군,유부도와 서천갯벌,충청남도 서천군 장항읍 유부도길 43,041-950-4140
120,서천군,서천 치유의 숲,충청남도 서천군 종천면 충서로302번길 88-81 서천치유센터,041-953-8771
121,청양군,칠갑산,대치면,041-940-2721
122,청양군,천장호출렁다리,정산면 천장리,041-940-2723
123,청양군,고운식물원,청양읍 식물원길 398-23,041-943-6245
124,청양군,백제문화체험박물관과 어린이백제체험관,대치면 장곡길 43-24,041-940-4871
125,청양군,칠갑산 천문대,정산면 한티고개길 178-46,041-940-2790
126,청양군,장곡사,대치면 장곡길 241,041-942-6769
127,청양군,장승공원,청양군 대치면 장곡길 119-17,041-940-2195
128,청양군,목재문화자연사체험관,대치면 칠갑산로 704-21,041-940-2845
129,청양군,모덕사,목면 나분동길 12,041-940-2481
130,청양군,알품스공원,대치면 장곡리 77,041-940-4862
131,청양군,다락골 성지,화성면 다락골길 78-2,041-943-8123
132,홍성군,홍성 홍주읍성,홍성읍 아문길 20,
133,홍성군,남당항과 스카이타워,서부면 남당리 일원,
134,홍성군,용봉산,홍북읍 용봉산2길 87,041-630-1785
135,홍성군,오서산,광천읍 담산리 일원,041-630-1425
136,홍성군,죽도,서부면 죽도리 일원,
137,홍성군,한용운선생 생가지,결성면 만해로318번길 83,041-630-9303
138,홍성군,김좌진장군 생가지,갈산면 백야로546번길 12,041-634-6952
139,홍성군,성삼문선생 유허지,홍북읍 매죽헌길 403-12,
140,홍성군,이응노생가 기념관,홍북읍 이응노로 61-7,041-630-9242
141,홍성군,홍주의사총,홍성읍 의사로 79,041-630-8733
142,홍성군,그림같은수목원,광천읍 충서로400번길 102-36,041-630-1477
143,예산군,예당호 출렁다리 & 음악분수,응봉면 예당관광로 161,041-339-8281
144,예산군,예당호 모노레일,응봉면 예당관광로 158,041-333-1041
145,예산군,예산황새공원,광시면 시목대리길 62-19,041-339-8365
146,예산군,수덕사,덕산면 수덕사안길 79,041-330-7700
147,예산군,윤봉길 의사 유적,덕산면 덕산온천로 183-5,041-339-8231
148,예산군,추사 김정희 선생 고택,신암면 추사고택로 261,041-339-8242
149,예산군,내포보부상촌,덕산면 온천단지1로 55,041-337-8830
150,예산군,국립 예산 치유의 숲,예산읍 치유숲길 203-31,041-330-0900
151,예산군,스플라스 리솜,덕산면 온천단지3로 45-7,041-330-8000
152,예산군,봉수산 수목원,대흥면 임존성길 153,041-339-8937
153,예산군,의좋은형제공원,대흥면 중리길 49,041-331-3727
154,예산군,아그로랜드 태신목장,고덕면 상몽2길 236,041-356-3154
155,태안군,꽃지해안공원·꽃지해수욕장,태안군 안면읍 꽃지해안로 400,041-673-1061
156,태안군,안면도자연휴양림,태안군 안면읍 안면대로 3195-6,041-674-5019
157,태안군,청산수목원,태안군 남면 연꽃길 70,041-675-0656
158,태안군,신두리해안사구,태안군 원북면 신두해변길 201-22,041-672-0499
159,태안군,천리포수목원,태안군 소원면 천리포1길 187,041-672-9982
160,태안군,백화산 구름다리,태안군 태안읍 산후리 산218,041-760-2425
161,태안군,안면도영목항전망대,태안군 고남면 안면대로 4506,041-675-8222
162,태안군,만리포해수욕장,태안군 소원면 만리포2길 138,041-672-9662
163,태안군,코리아플라워파크,태안군 안면읍 꽃지해안로 400,041-675-5533
164,태안군,팜카밀레 허브농원,태안군 남면 우운길 56-19,041-675-3636
165,태안군,태안군UV랜드,태안군 남면 기업도시로 1133,041-675-8341
166,태안군,안면도쥬라기박물관·별똥별 하늘공원,"태안군 남면 곰섬로 37-20, 37-18",041-674-5660
167,태안군,안면암,태안군 안면읍 여수해길 198-160,041-673-2333
